Program	Message	Time	Details
Papers Please	mouse left down	13079841	(412, 619)
Papers Please	mouse left up	13080668	(771, 537)
Papers Please	mouse left down	13081635	(1272, 523)
Papers Please	mouse left up	13081729	(1272, 523)
Papers Please	mouse left down	13082353	(773, 540)
Papers Please	mouse left up	13083257	(790, 562)
Papers Please	mouse left down	13088125	(1363, 446)
Papers Please	mouse left up	13088249	(1363, 446)
Papers Please	mouse left down	13088733	(833, 640)
Papers Please	mouse left up	13089341	(1252, 673)
Papers Please	mouse left down	13089731	(1177, 437)
Papers Please	mouse left up	13089841	(1175, 440)
Papers Please	mouse left down	13090121	(1132, 661)
Papers Please	mouse left up	13090730	(423, 435)
Papers Please	mouse left down	13093475	(582, 277)
Papers Please	mouse left up	13093616	(582, 277)
Papers Please	mouse left down	13095160	(912, 364)
Papers Please	mouse left up	13095254	(912, 364)
Papers Please	mouse left down	13099981	(414, 615)
Papers Please	mouse left up	13100667	(783, 530)
Papers Please	mouse left down	13101213	(402, 632)
Papers Please	mouse left up	13102757	(741, 523)
Papers Please	mouse left down	13103849	(1345, 752)
Papers Please	mouse left up	13103943	(1345, 752)
Papers Please	mouse left down	13104941	(819, 540)
Papers Please	mouse left up	13105019	(819, 540)
Papers Please	mouse left down	13105643	(267, 733)
Papers Please	mouse left up	13105768	(266, 733)
Papers Please	mouse left down	13108030	(414, 696)
Papers Please	mouse left up	13108171	(414, 696)
Papers Please	mouse left down	13109372	(768, 526)
Papers Please	mouse left up	13109965	(352, 596)
Papers Please	mouse left down	13110776	(1350, 427)
Papers Please	mouse left up	13110932	(1355, 436)
Papers Please	mouse left down	13111338	(1373, 446)
Papers Please	mouse left up	13111416	(1373, 446)
Papers Please	mouse left down	13112398	(1364, 450)
Papers Please	mouse left up	13112508	(1362, 451)
Papers Please	mouse left down	13112882	(780, 576)
Papers Please	mouse left up	13113147	(1027, 641)
Papers Please	mouse left down	13113444	(982, 429)
Papers Please	mouse left up	13113506	(978, 430)
Papers Please	mouse left down	13113693	(1019, 668)
Papers Please	mouse left up	13114177	(417, 459)
Papers Please	mouse left down	13114660	(341, 646)
Papers Please	mouse left up	13114848	(352, 621)
Papers Please	mouse left down	13114988	(352, 621)
Papers Please	mouse left up	13115253	(408, 455)
Papers Please	mouse left down	13117484	(581, 271)
Papers Please	mouse left up	13117687	(581, 271)
Papers Please	mouse left down	13124114	(422, 617)
Papers Please	mouse left up	13124504	(550, 624)
Papers Please	mouse left down	13124863	(413, 622)
